"Year","length_cm","weight_kg","sex","area","mode","disp","source"
1987,45.359,NA,"U","Central","PC","RETAINED","Deb"
1987,47.1925,NA,"U","Central","PC","RETAINED","Deb"
1987,44.78,NA,"U","Central","PC","RETAINED","Deb"
1987,45.2625,NA,"U","Central","PC","RETAINED","Deb"
1988,43.043,NA,"U","Bay","PC","RETAINED","Deb"
1988,34.744,NA,"U","Bay","PC","RETAINED","Deb"
1988,35.323,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.955,NA,"U","Bay","PC","RETAINED","Deb"
1988,40.92,NA,"U","Bay","PC","RETAINED","Deb"
1988,45.745,NA,"U","Bay","PC","RETAINED","Deb"
1988,55.395,NA,"U","Bay","PC","RETAINED","Deb"
1988,31.1735,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.411,NA,"U","Bay","PC","RETAINED","Deb"
1988,41.4025,NA,"U","Bay","PC","RETAINED","Deb"
1988,42.1745,NA,"U","Bay","PC","RETAINED","Deb"
1988,42.5605,NA,"U","Bay","PC","RETAINED","Deb"
1988,48.833,NA,"U","Bay","PC","RETAINED","Deb"
1988,51.0525,NA,"U","Bay","PC","RETAINED","Deb"
1988,35.8055,NA,"U","Bay","PC","RETAINED","Deb"
1988,36.1915,NA,"U","Bay","PC","RETAINED","Deb"
1988,50.763,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.6655,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.0865,NA,"U","Bay","PC","RETAINED","Deb"
1988,37.7355,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.762,NA,"U","Bay","PC","RETAINED","Deb"
1988,40.2445,NA,"U","Bay","PC","RETAINED","Deb"
1988,41.113,NA,"U","Bay","PC","RETAINED","Deb"
1988,48.447,NA,"U","Bay","PC","RETAINED","Deb"
1988,31.3665,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.376,NA,"U","Bay","PC","RETAINED","Deb"
1988,43.429,NA,"U","Bay","PC","RETAINED","Deb"
1988,46.4205,NA,"U","Bay","PC","RETAINED","Deb"
1988,37.446,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.604,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.797,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.2795,NA,"U","Bay","PC","RETAINED","Deb"
1988,41.4025,NA,"U","Bay","PC","RETAINED","Deb"
1988,43.622,NA,"U","Bay","PC","RETAINED","Deb"
1988,44.008,NA,"U","Bay","PC","RETAINED","Deb"
1988,34.2615,NA,"U","Bay","PC","RETAINED","Deb"
1988,50.57,NA,"U","Bay","PC","RETAINED","Deb"
1988,31.1735,NA,"U","Bay","PC","RETAINED","Deb"
1988,37.5425,NA,"U","Bay","PC","RETAINED","Deb"
1988,42.5605,NA,"U","Bay","PC","RETAINED","Deb"
1988,47.868,NA,"U","Bay","PC","RETAINED","Deb"
1988,37.3495,NA,"U","Bay","PC","RETAINED","Deb"
1988,37.832,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.5075,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.99,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.762,NA,"U","Bay","PC","RETAINED","Deb"
1988,41.9815,NA,"U","Bay","PC","RETAINED","Deb"
1988,44.6835,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.025,NA,"U","Central","PC","RETAINED","Deb"
1988,39.6655,NA,"U","Central","PC","RETAINED","Deb"
1988,41.306,NA,"U","Central","PC","RETAINED","Deb"
1988,43.9115,NA,"U","Bay","PC","RETAINED","Deb"
1988,49.1225,NA,"U","Bay","PC","RETAINED","Deb"
1988,32.9105,NA,"U","Bay","PC","RETAINED","Deb"
1988,33.1035,NA,"U","Bay","PC","RETAINED","Deb"
1988,34.358,NA,"U","Bay","PC","RETAINED","Deb"
1988,35.6125,NA,"U","Bay","PC","RETAINED","Deb"
1988,35.9985,NA,"U","Bay","PC","RETAINED","Deb"
1988,36.1915,NA,"U","Bay","PC","RETAINED","Deb"
1988,36.7705,NA,"U","Bay","PC","RETAINED","Deb"
1988,36.9635,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.1215,NA,"U","Bay","PC","RETAINED","Deb"
1988,38.411,NA,"U","Bay","PC","RETAINED","Deb"
1988,39.6655,NA,"U","Bay","PC","RETAINED","Deb"
1988,41.2095,NA,"U","Bay","PC","RETAINED","Deb"
1988,49.605,NA,"U","Bay","PC","RETAINED","Deb"
1988,28.568,NA,"U","Bay","PC","RETAINED","Deb"
