"Year","GeiCol_Nfish","MilGei_Nfish","MilGot_Nfish","deb_Nfish","mrfss_Nfish","recfin_Nfish","trawl_Nfish","triennial_Nfish","GeiCol_Ntrip","MilGei_Ntrip","MilGot_Ntrip","deb_Ntrip","mrfss_Ntrip","recfin_Ntrip","trawl_Ntrip","triennial_Ntrip"
1959,0,34,11,0,0,0,0,0,0,2,5,0,0,0,0,0
1960,0,23,22,0,0,0,0,0,0,3,8,0,0,0,0,0
1980,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0
1981,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0
1982,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0
1983,0,0,0,0,61,0,0,0,0,0,0,0,32,0,0,0
1984,0,0,0,0,28,0,0,0,0,0,0,0,21,0,0,0
1985,0,0,0,0,36,0,0,0,0,0,0,0,31,0,0,0
1986,0,0,0,0,44,0,0,0,0,0,0,0,34,0,0,0
1987,0,0,0,4,8,0,0,0,0,0,0,3,6,0,0,0
1988,0,0,0,87,7,0,0,0,0,0,0,19,6,0,0,0
1989,0,0,0,107,49,0,0,0,0,0,0,29,43,0,0,0
1990,0,0,0,37,0,0,0,0,0,0,0,12,0,0,0,0
1991,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0
1992,29,0,0,43,0,0,0,0,9,0,0,18,0,0,0,0
1993,112,0,0,61,56,0,0,0,57,0,0,24,39,0,0,0
1994,125,0,0,22,28,0,0,0,46,0,0,14,17,0,0,0
1995,35,0,0,164,15,0,0,0,11,0,0,27,12,0,0,0
1996,139,0,0,104,43,0,0,0,46,0,0,26,37,0,0,0
1997,105,0,0,73,8,0,0,0,39,0,0,30,4,0,0,0
1998,55,0,0,45,8,0,0,0,24,0,0,15,7,0,0,0
1999,0,0,0,0,72,0,0,0,0,0,0,0,47,0,0,0
2000,0,0,0,0,46,0,0,0,0,0,0,0,32,0,0,0
2001,0,0,0,0,32,0,0,1,0,0,0,0,22,0,0,1
2002,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0
2003,0,0,0,0,56,0,0,0,0,0,0,0,42,0,0,0
2004,0,0,0,0,0,120,0,0,0,0,0,0,0,40,0,0
2005,0,0,0,0,0,215,0,0,0,0,0,0,0,91,0,0
2006,0,0,0,0,0,417,0,0,0,0,0,0,0,167,0,0
2007,0,0,0,0,0,552,19,0,0,0,0,0,0,168,1,0
2008,0,0,0,0,0,330,0,0,0,0,0,0,0,124,0,0
2009,0,0,0,0,0,321,0,0,0,0,0,0,0,124,0,0
2010,0,0,0,0,0,144,0,0,0,0,0,0,0,77,0,0
2011,0,0,0,0,0,207,0,0,0,0,0,0,0,82,0,0
2012,0,0,0,0,0,270,0,0,0,0,0,0,0,122,0,0
2013,0,0,0,0,0,189,1,0,0,0,0,0,0,100,1,0
2014,0,0,0,0,0,129,4,0,0,0,0,0,0,73,2,0
2015,0,0,0,0,0,376,0,0,0,0,0,0,0,151,0,0
2016,0,0,0,0,0,440,0,0,0,0,0,0,0,140,0,0
2017,0,0,0,0,0,457,2,0,0,0,0,0,0,197,2,0
2018,0,0,0,0,0,423,0,0,0,0,0,0,0,187,0,0
2019,0,0,0,0,0,464,0,0,0,0,0,0,0,194,0,0
2021,0,0,0,0,0,256,0,0,0,0,0,0,0,105,0,0
2022,0,0,0,0,0,409,0,0,0,0,0,0,0,168,0,0
2023,0,0,0,0,0,134,0,0,0,0,0,0,0,63,0,0
