"year","month","fleet","sex","partition","Nsamp","input_n","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66"
1959,7,"rec_north",0,0,45,7,0,0,0,0,0,0,0,1,0,0,0,3,1,3,8,9,7,10,2,1,0,0,0,0,0,0,0,0
1960,7,"rec_north",0,0,17,1,0,0,0,0,0,0,0,0,1,1,0,0,2,3,2,4,2,1,1,0,0,0,0,0,0,0,0,0
1980,7,"rec_north",0,0,9,8,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
1981,7,"rec_north",0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1982,7,"rec_north",0,0,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
1983,7,"rec_north",0,0,45,23,0,0,0,0,0,0,0,1,0,1,2,1,4,1,3,5,2,10,4,9,1,0,0,1,0,0,0,0
1984,7,"rec_north",0,0,12,9,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,1,0,1,0,1,1,1,0,0,0,0,0,0
1985,7,"rec_north",0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,1,0,1,0,3,1,0,0,0,0,0,0,0
1986,7,"rec_north",0,0,26,21,0,0,0,0,0,0,0,0,0,5,3,3,3,2,2,1,2,2,3,0,0,0,0,0,0,0,0,0
1987,7,"rec_north",0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1988,7,"rec_north",0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,7,"rec_north",0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1991,7,"rec_north",0,0,5,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,"rec_north",0,0,40,17,0,0,0,0,0,0,0,1,4,8,5,3,10,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0
1993,7,"rec_north",0,0,203,100,0,0,0,0,0,0,1,3,2,17,28,37,30,20,19,24,10,5,2,2,1,1,1,0,0,0,0,0
1994,7,"rec_north",0,0,155,64,0,0,0,0,0,0,2,7,6,13,24,30,21,15,15,7,4,7,3,1,0,0,0,0,0,0,0,0
1995,7,"rec_north",0,0,50,22,0,0,0,0,0,1,1,3,9,7,8,9,6,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,7,"rec_north",0,0,152,57,0,0,0,0,0,2,5,13,11,19,28,28,16,10,5,8,2,3,1,1,0,0,0,0,0,0,0,0
1997,7,"rec_north",0,0,107,41,0,0,0,0,0,1,0,3,5,8,14,14,14,18,9,4,10,3,1,2,0,1,0,0,0,0,0,0
