Model Number,Intercept,Protection,Super Year,Proportion Hard or Mixed, Latitude,Latitude Squared,Depth,Depth Squared,Port Distance,Backsides,1/Site,Super Year * Protection,Offset,Residual DF,AICc,Delta AICc
1,-7.05305,+,+,+,+,+,+,`+,+,+,+,+,+,954,2521.6,-6.3
2,-6.93612,+,+,+,+,+,+,`+,NA,+,+,+,+,955,2523.9,-4
3,-7.07284,+,+,+,+,+,+,`+,+,NA,+,+,+,955,2525.3,-2.6
4,-6.95493,+,+,+,+,+,+,`+,NA,NA,+,+,+,956,2527.9,0
5,-7.36097,+,+,+,+,NA,+,`+,NA,NA,+,+,+,953,2532.9,5
6,-6.70695,NA,+,+,+,+,+,`+,NA,NA,+,NA,+,959,2571.7,43.8
7,-6.86227,+,+,+,+,+,+,`+,NA,NA,+,NA,+,958,2572.4,44.5
8,-7.09572,+,+,+,NA,NA,+,`+,NA,NA,+,+,+,958,2580,52.1
9,-7.52612,+,+,+,+,+,+,NA,NA,NA,+,+,+,954,2606.1,78.2
10,-6.76899,+,+,NA,+,+,+,`+,NA,NA,+,+,+,959,2622.2,94.3
11,-7.5557,+,+,+,+,+,NA,NA,NA,NA,+,+,+,955,2647,119.1
