"label","type","alt_text"
"es-landings","figure","See Table 9 for values."
"es-sb","figure","See table 26 for values."
"es-depl","figure",""
"es-recruits","figure",""
"es-recdevs","figure",""
"es-kobe","figure","See table @tbl-ts for the values of the fraction unfished and fishing intensity which are related in this figure."
"es-spr","figure","See table @tbl-ts for the values of the fraction unfished and fishing intensity which are related in this figure."
"map","figure","Map of California showing indicating statewide management and assessment, but population range primarily north of central California."
"catches","figure","Stacked bar plot showing total removals were low through the 1940s, rising from the 1960s through 2000 and remaining relatively stable thereafter, with the majority of removals being from the recreational fleet, with removals from the commercial fleet largest in the 1990s."
"data","figure","Tabular information for this figure can be found in the data file."
"len-comm-bubbles","figure","Bubble plot of California commercial length compositions. See text for description."
"lenMean-comm","figure","Line plot showing mean length along with uncertainty in each year with an increasing trend in mean length from 1995 to 2015."
"caal-comm","figure","Bubble plot of California commercial age at length compositions roughly following shape of growth curve."
"len-rec-bubbles","figure","Bubble plot of California recreational length compositions. See text for description"
"lenMean-rec","figure","Line plot showing mean length along with uncertainty in each year with a declining trend in mean length from 1980 to 1995 and slowing increasing trend to 2015."
"indices","figure","Line plot of relative abundance indices used in the base model showing limited overlap in time between the indices, and variable overlap."
"len-ccfrp-bubbles","figure","Bubble plot of CCFRP length compositions. See text for description"
"lenMean-ccfrp","figure","Line plot showing mean length along with uncertainty in each year with a slight decline in mean length since 2020."
"caal-ccfrp","figure","Bubble plot of California age at length compositions for the CCFRP fleet showing sparse samples that roughly following shape of growth curve."
"caal-growth","figure","Bubble plot of California age at length compositions for the growth fleet roughly following shape of growth curve."
"len-rov-bubbles","figure","Bubble plot of ROV length compositions. See text for description"
"lenMean-rov","figure","Line plot showing mean length along with uncertainty in each year with a generally unchanged pattern, though lengths are larger in 2014 and 2015, and show and increasing trend from 2019 to 2021."
"weightlength","figure","Scatter plot of the available weight and length data for quillback rockfish and a line with the fitted curve, showing an exponential increase of increasing weight at length."
"maturity","figure","Scatter plot of the available maturity at length data for quillback rockfish and a solid line representing the estimated functional maturity."
"fecundity","figure","Scatter plot of the available fecundity at length data with the fitted relationship."
"growthdata","figure","Two panel fit of growth curves to age at length data. There are lengths for age zero fish, but the majority of data are for fish from approximately 24 to 44 cm. The 2021 assessment used a high value for L infinity with fish reaching that age at a smaller length. The 2025 external estimate has a slightly lower estimate for K, and a lower L infinity. The 2025 model estimate has a smaller value of K and reaches a similar L infinity as the 2021 model, around 43 cm."
"growth","figure","Growth curves for females and males diverge are similar up to about age 8 after which females are notably larger. For both sexes the growth asymptotes around age 20. See parameter table for growth parameters."
"bridgeSS3_bio","figure","Figure showing that the trajectory from the 2021 assessment is similar when using the newest version of stock synthesis."
"bridgeBio_comp","figure","Figure showing that the trajectory of spawning output and spawning output relative to unfished from the 2021 assessment changes most with updates to growth, fecundity, and mortality."
"bridgeSmryBio_comp","figure","Figure showing that the trajectory of spawning output and summary biomass from the 2021 assessment changes most with updates to growth and mortality."
