Model Number,Intercept,Protection,Super Year,Proportion Hard or Mixed, Latitude,Latitude Squared,Depth,Depth Squared,Port Distance,Backsides,1/Site,Super Year * Protection,Residual DF,Delta AICc
1,-7.053,+,+,+,+,+,+,+,+,+,+,+,954,-6.3
2,-6.936,+,+,+,+,+,+,+,--,+,+,+,955,-4
3,-7.072,+,+,+,+,+,+,+,+,--,+,+,955,-2.6
4,-6.954,+,+,+,+,+,+,+,--,--,+,+,956,0
5,-7.36,+,+,+,+,--,+,+,--,--,+,+,953,5
6,-6.706,--,+,+,+,+,+,+,--,--,+,--,959,43.8
7,-6.862,+,+,+,+,+,+,+,--,--,+,--,958,44.5
8,-7.095,+,+,+,--,--,+,+,--,--,+,+,958,52.1
9,-7.526,+,+,+,+,+,+,--,--,--,+,+,954,78.2
10,-6.768,+,+,--,+,+,+,+,--,--,+,+,959,94.3
11,-7.55,+,+,+,+,+,--,--,--,--,+,+,955,119.1
