" ","Base","Increase catch se","Reduce large catches","Fleets as areas","Remove ageing error"
"Npar","121","121","121","140","121"
"TOTAL_like","668.238","668.238","671.164","624.899","663.455"
"Survey_like","-26.349","-26.349","-25.503","-16.802","-26.059"
"Length_comp_like","174.184","174.184","175.535","256.027","175.167"
"Age_comp_like","500.121","500.121","499.948","368.917","496.127"
"Recruitment_like","20.280","20.280","21.180","16.751","18.217"
"Forecast_Recruitment_like","0.000509","0.000509","0.00055","0.0004","0.00101"
"Parm_priors_like","0.000719","0.000719","0.000719","0.000719","0.000719"
"Recr_Virgin_thousands","45.520","45.520","39.762","48.162","46.949"
"SR_LN(R0)","3.818","3.818","3.683","3.875","3.849"
"SR_BH_steep","0.720","0.720","0.720","0.720","0.720"
"NatM_uniform_Fem_GP_1","0.068","0.068","0.068","0.068","0.068"
"L_at_Amax_Fem_GP_1","42.749","42.749","42.691","43.795","42.737"
"VonBert_K_Fem_GP_1","0.126","0.126","0.127","0.112","0.125"
"SSB_Virgin","97.832","97.832","85.267","107.025","100.488"
"SSB_2025","45.426","45.426","41.112","46.686","42.358"
"Bratio_2025","0.464","0.464","0.482","0.436","0.422"
"SPRratio_2024","0.0919","0.0919","0.100","0.0871","0.0975"
