" ","Base","All fleets domed","Com domed","Rec domed","Surveys domed","No blocks","All asymptotic","Full rec block with domed","Full rec and com block with domed"
"Npar","121","127","123","123","123","114","120","130","134"
"TOTAL_like","668.238","665.915","667.625","668.172","667.582","696.889","670.733","666.874","666.980"
"Survey_like","-26.349","-26.587","-26.354","-26.385","-26.381","-20.142","-26.108","-26.455","-26.520"
"Length_comp_like","174.184","171.780","173.276","174.117","173.890","195.220","176.403","173.283","172.565"
"Age_comp_like","500.121","500.439","500.398","500.092","499.770","498.913","499.287","499.620","500.609"
"Parm_priors_like","0.000719","0.000719","0.000719","0.000719","0.000719","0.000719","0.000719","0.000719","0.000719"
"Recr_Virgin_thousands","45.520","49.273","45.562","46.110","45.452","38.735","44.543","46.852","46.593"
"SR_LN(R0)","3.818","3.897","3.819","3.831","3.817","3.657","3.796","3.847","3.841"
"SR_BH_steep","0.720","0.720","0.720","0.720","0.720","0.720","0.720","0.720","0.720"
"NatM_uniform_Fem_GP_1","0.068","0.068","0.068","0.068","0.068","0.068","0.068","0.068","0.068"
"L_at_Amax_Fem_GP_1","42.749","43.749","42.830","42.853","42.888","43.021","42.553","43.183","43.009"
"VonBert_K_Fem_GP_1","0.126","0.121","0.125","0.125","0.126","0.126","0.129","0.125","0.124"
"SSB_Virgin","97.832","113.883","98.387","99.827","98.772","85.248","94.879","104.238","101.886"
"Bratio_2025","0.464","0.521","0.463","0.474","0.468","0.407","0.456","0.494","0.478"
"SPRratio_2024","0.0919","0.0752","0.0919","0.0888","0.0905","0.117","0.0952","0.0823","0.087"
